row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,month,week_of_year
317,Pole Position,20,2024-03-13,,18.0,,20.0,,0.0,,13.0,2,3,11
318,Cockpit,10,2024-03-13,,8.0,,0.0,,0.0,,6.0,2,3,11
319,Pit-Lane,4,2024-03-14,,3.0,,0.0,,0.0,,4.0,3,3,11
320,Dry-lane,4,2024-03-14,,4.0,,4.0,,2.0,,0.0,3,3,11
321,Joker Lap,4,2024-03-14,,0.0,,2.0,,3.0,,3.0,3,3,11
322,Quick 8,8,2024-03-14,,0.0,,7.0,,7.0,,0.0,3,3,11
323,Pole Position,20,2024-03-14,,0.0,,0.0,,0.0,,0.0,3,3,11
324,Cockpit,10,2024-03-14,,6.0,,10.0,,0.0,,10.0,3,3,11
325,Pit-Lane,4,2024-03-15,,0.0,,3.0,,4.0,,2.0,4,3,11
326,Dry-lane,4,2024-03-15,,3.0,,0.0,,3.0,,3.0,4,3,11
327,Joker Lap,4,2024-03-15,,3.0,,0.0,,0.0,,3.0,4,3,11
328,Quick 8,8,2024-03-15,,7.0,,0.0,,0.0,,6.0,4,3,11
329,Pole Position,20,2024-03-15,,13.0,,0.0,,17.0,,19.0,4,3,11
330,Cockpit,10,2024-03-15,,0.0,,0.0,,0.0,,0.0,4,3,11
331,Pit-Lane,4,2024-03-18,,3.0,,0.0,,3.0,,2.0,0,3,12
332,Dry-lane,4,2024-03-18,,0.0,,4.0,,0.0,,0.0,0,3,12
333,Joker Lap,4,2024-03-18,,4.0,,0.0,,3.0,,4.0,0,3,12
334,Quick 8,8,2024-03-18,,6.0,,4.0,,6.0,,8.0,0,3,12
335,Pole Position,20,2024-03-18,,0.0,,0.0,,0.0,,0.0,0,3,12
336,Cockpit,10,2024-03-18,,0.0,,8.0,,8.0,,0.0,0,3,12
337,Pit-Lane,4,2024-03-19,,2.0,,0.0,,3.0,,0.0,1,3,12
338,Dry-lane,4,2024-03-19,,0.0,,4.0,,3.0,,3.0,1,3,12
339,Joker Lap,4,2024-03-19,,4.0,,0.0,,0.0,,0.0,1,3,12
340,Quick 8,8,2024-03-19,,4.0,,7.0,,0.0,,7.0,1,3,12
341,Pole Position,20,2024-03-19,,0.0,,0.0,,0.0,,0.0,1,3,12
342,Cockpit,10,2024-03-19,,10.0,,6.0,,0.0,,0.0,1,3,12
343,Pit-Lane,4,2024-03-20,,3.0,,0.0,,2.0,,0.0,2,3,12
344,Dry-lane,4,2024-03-20,,3.0,,0.0,,0.0,,0.0,2,3,12
345,Joker Lap,4,2024-03-20,,0.0,,0.0,,2.0,,3.0,2,3,12
346,Quick 8,8,2024-03-20,,4.0,,7.0,,0.0,,5.0,2,3,12
347,Pole Position,20,2024-03-20,,0.0,,11.0,,0.0,,0.0,2,3,12
348,Cockpit,10,2024-03-20,,0.0,,8.0,,0.0,,0.0,2,3,12
349,Pit-Lane,4,2024-03-21,,0.0,,0.0,,4.0,,0.0,3,3,12
350,Dry-lane,4,2024-03-21,,3.0,,2.0,,2.0,,2.0,3,3,12
351,Joker Lap,4,2024-03-21,,0.0,,0.0,,3.0,,0.0,3,3,12
352,Quick 8,8,2024-03-21,,7.0,,5.0,,8.0,,6.0,3,3,12
353,Pole Position,20,2024-03-21,,12.0,,15.0,,0.0,,0.0,3,3,12
354,Cockpit,10,2024-03-21,,9.0,,8.0,,7.0,,9.0,3,3,12
355,Pit-Lane,4,2024-03-22,,0.0,,0.0,,2.0,,0.0,4,3,12
356,Dry-lane,4,2024-03-22,,3.0,,4.0,,0.0,,2.0,4,3,12
357,Joker Lap,4,2024-03-22,,2.0,,3.0,,0.0,,3.0,4,3,12
358,Quick 8,8,2024-03-22,,4.0,,5.0,,0.0,,6.0,4,3,12
359,Pole Position,20,2024-03-22,,19.0,,0.0,,0.0,,20.0,4,3,12
360,Cockpit,10,2024-03-22,,0.0,,5.0,,0.0,,6.0,4,3,12
361,Pit-Lane,4,2024-03-25,,0.0,,4.0,,3.0,,4.0,0,3,13
362,Dry-lane,4,2024-03-25,,3.0,,3.0,,4.0,,0.0,0,3,13
363,Joker Lap,4,2024-03-25,,3.0,,4.0,,0.0,,3.0,0,3,13
364,Quick 8,8,2024-03-25,,5.0,,0.0,,7.0,,8.0,0,3,13
365,Pole Position,20,2024-03-25,,0.0,,0.0,,0.0,,0.0,0,3,13
366,Cockpit,10,2024-03-25,,0.0,,6.0,,7.0,,0.0,0,3,13
367,Pit-Lane,4,2024-03-26,,0.0,,4.0,,0.0,,0.0,1,3,13
368,Dry-lane,4,2024-03-26,,0.0,,3.0,,0.0,,4.0,1,3,13
369,Joker Lap,4,2024-03-26,,0.0,,0.0,,0.0,,3.0,1,3,13
370,Quick 8,8,2024-03-26,,0.0,,0.0,,7.0,,0.0,1,3,13
371,Pole Position,20,2024-03-26,,16.0,,0.0,,14.0,,13.0,1,3,13
372,Cockpit,10,2024-03-26,,0.0,,0.0,,6.0,,7.0,1,3,13
373,Pit-Lane,4,2024-03-27,,0.0,,3.0,,0.0,,3.0,2,3,13
374,Dry-lane,4,2024-03-27,,3.0,,3.0,,0.0,,2.0,2,3,13
375,Joker Lap,4,2024-03-27,,3.0,,3.0,,2.0,,2.0,2,3,13
376,Quick 8,8,2024-03-27,,0.0,,7.0,,0.0,,0.0,2,3,13
377,Pole Position,20,2024-03-27,,19.0,,0.0,,20.0,,0.0,2,3,13
378,Cockpit,10,2024-03-27,,0.0,,9.0,,8.0,,0.0,2,3,13
379,Pit-Lane,4,2024-03-28,,0.0,,0.0,,3.0,,0.0,3,3,13
380,Dry-lane,4,2024-03-28,,0.0,,0.0,,0.0,,0.0,3,3,13
381,Joker Lap,4,2024-03-28,,0.0,,2.0,,0.0,,0.0,3,3,13
382,Quick 8,8,2024-03-28,,6.0,,5.0,,0.0,,5.0,3,3,13
383,Pole Position,20,2024-03-28,,16.0,,0.0,,10.0,,16.0,3,3,13
384,Cockpit,10,2024-03-28,,0.0,,10.0,,10.0,,8.0,3,3,13
385,Pit-Lane,4,2024-03-29,,4.0,,0.0,,0.0,,0.0,4,3,13
386,Dry-lane,4,2024-03-29,,0.0,,3.0,,0.0,,0.0,4,3,13
387,Joker Lap,4,2024-03-29,,0.0,,2.0,,4.0,,0.0,4,3,13
388,Quick 8,8,2024-03-29,,0.0,,6.0,,5.0,,7.0,4,3,13
389,Pole Position,20,2024-03-29,,0.0,,10.0,,17.0,,18.0,4,3,13
390,Cockpit,10,2024-03-29,,7.0,,0.0,,9.0,,7.0,4,3,13
