row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,week_of_year
290,Dry-lane,4,2024-03-07,1,3.0,1,3.0,0,0.0,0,0.0,3,10.0
291,Joker Lap,4,2024-03-07,0,0.0,1,4.0,0,0.0,0,0.0,3,10.0
292,Quick 8,8,2024-03-07,0,0.0,0,0.0,0,0.0,1,4.0,3,10.0
293,Pole Position,20,2024-03-07,0,0.0,1,17.0,0,0.0,1,13.0,3,10.0
294,Cockpit,10,2024-03-07,0,0.0,1,10.0,1,7.0,0,0.0,3,10.0
295,Pit-Lane,4,2024-03-08,1,3.0,1,3.0,0,0.0,1,4.0,4,10.0
296,Dry-lane,4,2024-03-08,1,4.0,1,4.0,0,0.0,0,0.0,4,10.0
297,Joker Lap,4,2024-03-08,0,0.0,1,3.0,1,3.0,0,0.0,4,10.0
298,Quick 8,8,2024-03-08,0,0.0,1,8.0,0,0.0,0,0.0,4,10.0
299,Pole Position,20,2024-03-08,0,0.0,0,0.0,0,0.0,1,14.0,4,10.0
300,Cockpit,10,2024-03-08,0,0.0,1,6.0,0,0.0,1,5.0,4,10.0
301,Pit-Lane,4,2024-03-11,0,0.0,1,2.0,0,0.0,1,4.0,0,11.0
302,Dry-lane,4,2024-03-11,0,0.0,0,0.0,0,0.0,1,4.0,0,11.0
303,Joker Lap,4,2024-03-11,0,0.0,1,2.0,0,0.0,1,2.0,0,11.0
304,Quick 8,8,2024-03-11,1,7.0,1,5.0,0,0.0,1,6.0,0,11.0
305,Pole Position,20,2024-03-11,0,0.0,1,18.0,0,0.0,1,12.0,0,11.0
306,Cockpit,10,2024-03-11,1,7.0,1,7.0,0,0.0,1,6.0,0,11.0
307,Pit-Lane,4,2024-03-12,0,0.0,0,0.0,1,3.0,1,4.0,1,11.0
308,Dry-lane,4,2024-03-12,1,4.0,1,2.0,0,0.0,0,0.0,1,11.0
309,Joker Lap,4,2024-03-12,0,0.0,1,4.0,0,0.0,1,3.0,1,11.0
310,Quick 8,8,2024-03-12,1,7.0,0,0.0,1,8.0,1,5.0,1,11.0
311,Pole Position,20,2024-03-12,0,0.0,1,11.0,0,0.0,0,0.0,1,11.0
312,Cockpit,10,2024-03-12,0,0.0,1,6.0,1,9.0,0,0.0,1,11.0
313,Pit-Lane,4,2024-03-13,1,3.0,1,3.0,0,0.0,0,0.0,2,11.0
314,Dry-lane,4,2024-03-13,0,0.0,1,3.0,1,3.0,1,4.0,2,11.0
315,Joker Lap,4,2024-03-13,0,0.0,1,2.0,1,3.0,1,4.0,2,11.0
316,Quick 8,8,2024-03-13,1,7.0,0,0.0,1,7.0,0,0.0,2,11.0
317,Pole Position,20,2024-03-13,1,18.0,1,20.0,0,0.0,1,13.0,2,11.0
318,Cockpit,10,2024-03-13,1,8.0,0,0.0,0,0.0,1,6.0,2,11.0
319,Pit-Lane,4,2024-03-14,1,3.0,0,0.0,0,0.0,1,4.0,3,11.0
320,Dry-lane,4,2024-03-14,1,4.0,1,4.0,1,2.0,0,0.0,3,11.0
321,Joker Lap,4,2024-03-14,0,0.0,1,2.0,1,3.0,1,3.0,3,11.0
322,Quick 8,8,2024-03-14,0,0.0,1,7.0,1,7.0,0,0.0,3,11.0
323,Pole Position,20,2024-03-14,0,0.0,0,0.0,0,0.0,0,0.0,3,11.0
324,Cockpit,10,2024-03-14,1,6.0,1,10.0,0,0.0,1,10.0,3,11.0
325,Pit-Lane,4,2024-03-15,0,0.0,1,3.0,1,4.0,1,2.0,4,11.0
326,Dry-lane,4,2024-03-15,1,3.0,0,0.0,1,3.0,1,3.0,4,11.0
327,Joker Lap,4,2024-03-15,1,3.0,0,0.0,0,0.0,1,3.0,4,11.0
328,Quick 8,8,2024-03-15,1,7.0,0,0.0,0,0.0,1,6.0,4,11.0
329,Pole Position,20,2024-03-15,1,13.0,0,0.0,1,17.0,1,19.0,4,11.0
330,Cockpit,10,2024-03-15,0,0.0,0,0.0,0,0.0,0,0.0,4,11.0
331,Pit-Lane,4,2024-03-18,1,3.0,0,0.0,1,3.0,1,2.0,0,12.0
332,Dry-lane,4,2024-03-18,0,0.0,1,4.0,0,0.0,0,0.0,0,12.0
333,Joker Lap,4,2024-03-18,1,4.0,0,0.0,1,3.0,1,4.0,0,12.0
334,Quick 8,8,2024-03-18,1,6.0,1,4.0,1,6.0,1,8.0,0,12.0
335,Pole Position,20,2024-03-18,0,0.0,0,0.0,0,0.0,0,0.0,0,12.0
336,Cockpit,10,2024-03-18,0,0.0,1,8.0,1,8.0,0,0.0,0,12.0
337,Pit-Lane,4,2024-03-19,1,2.0,0,0.0,1,3.0,0,0.0,1,12.0
338,Dry-lane,4,2024-03-19,0,0.0,1,4.0,1,3.0,1,3.0,1,12.0
339,Joker Lap,4,2024-03-19,1,4.0,0,0.0,0,0.0,0,0.0,1,12.0
340,Quick 8,8,2024-03-19,1,4.0,1,7.0,0,0.0,1,7.0,1,12.0
341,Pole Position,20,2024-03-19,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
342,Cockpit,10,2024-03-19,1,10.0,1,6.0,0,0.0,0,0.0,1,12.0
343,Pit-Lane,4,2024-03-20,1,3.0,0,0.0,1,2.0,0,0.0,2,12.0
344,Dry-lane,4,2024-03-20,1,3.0,0,0.0,0,0.0,0,0.0,2,12.0
345,Joker Lap,4,2024-03-20,0,0.0,0,0.0,1,2.0,1,3.0,2,12.0
346,Quick 8,8,2024-03-20,1,4.0,1,7.0,0,0.0,1,5.0,2,12.0
347,Pole Position,20,2024-03-20,0,0.0,1,11.0,0,0.0,0,0.0,2,12.0
348,Cockpit,10,2024-03-20,0,0.0,1,8.0,0,0.0,0,0.0,2,12.0
349,Pit-Lane,4,2024-03-21,0,0.0,0,0.0,1,4.0,0,0.0,3,12.0
350,Dry-lane,4,2024-03-21,1,3.0,1,2.0,1,2.0,1,2.0,3,12.0
351,Joker Lap,4,2024-03-21,0,0.0,0,0.0,1,3.0,0,0.0,3,12.0
352,Quick 8,8,2024-03-21,1,7.0,1,5.0,1,8.0,1,6.0,3,12.0
353,Pole Position,20,2024-03-21,1,12.0,1,15.0,0,0.0,0,0.0,3,12.0
354,Cockpit,10,2024-03-21,1,9.0,1,8.0,1,7.0,1,9.0,3,12.0
355,Pit-Lane,4,2024-03-22,0,0.0,0,0.0,1,2.0,0,0.0,4,12.0
356,Dry-lane,4,2024-03-22,1,3.0,1,4.0,0,0.0,1,2.0,4,12.0
357,Joker Lap,4,2024-03-22,1,2.0,1,3.0,0,0.0,1,3.0,4,12.0
358,Quick 8,8,2024-03-22,1,4.0,1,5.0,0,0.0,1,6.0,4,12.0
359,Pole Position,20,2024-03-22,1,19.0,0,0.0,0,0.0,1,20.0,4,12.0
360,Cockpit,10,2024-03-22,0,0.0,1,5.0,0,0.0,1,6.0,4,12.0
361,Pit-Lane,4,2024-03-25,0,0.0,1,4.0,1,3.0,1,4.0,0,13.0
362,Dry-lane,4,2024-03-25,1,3.0,1,3.0,1,4.0,0,0.0,0,13.0
363,Joker Lap,4,2024-03-25,1,3.0,1,4.0,0,0.0,1,3.0,0,13.0
364,Quick 8,8,2024-03-25,1,5.0,0,0.0,1,7.0,1,8.0,0,13.0
365,Pole Position,20,2024-03-25,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0
366,Cockpit,10,2024-03-25,0,0.0,1,6.0,1,7.0,0,0.0,0,13.0
367,Pit-Lane,4,2024-03-26,0,0.0,1,4.0,0,0.0,0,0.0,1,13.0
368,Dry-lane,4,2024-03-26,0,0.0,1,3.0,0,0.0,1,4.0,1,13.0
369,Joker Lap,4,2024-03-26,0,0.0,0,0.0,0,0.0,1,3.0,1,13.0
370,Quick 8,8,2024-03-26,0,0.0,0,0.0,1,7.0,0,0.0,1,13.0
371,Pole Position,20,2024-03-26,1,16.0,0,0.0,1,14.0,1,13.0,1,13.0
372,Cockpit,10,2024-03-26,0,0.0,0,0.0,1,6.0,1,7.0,1,13.0
373,Pit-Lane,4,2024-03-27,0,0.0,1,3.0,0,0.0,1,3.0,2,13.0
374,Dry-lane,4,2024-03-27,1,3.0,1,3.0,0,0.0,1,2.0,2,13.0
375,Joker Lap,4,2024-03-27,1,3.0,1,3.0,1,2.0,1,2.0,2,13.0
376,Quick 8,8,2024-03-27,0,0.0,1,7.0,0,0.0,0,0.0,2,13.0
377,Pole Position,20,2024-03-27,1,19.0,0,0.0,1,20.0,0,0.0,2,13.0
378,Cockpit,10,2024-03-27,0,0.0,1,9.0,1,8.0,0,0.0,2,13.0
379,Pit-Lane,4,2024-03-28,0,0.0,0,0.0,1,3.0,0,0.0,3,13.0
380,Dry-lane,4,2024-03-28,0,0.0,0,0.0,0,0.0,0,0.0,3,13.0
381,Joker Lap,4,2024-03-28,0,0.0,1,2.0,0,0.0,0,0.0,3,13.0
382,Quick 8,8,2024-03-28,1,6.0,1,5.0,0,0.0,1,5.0,3,13.0
383,Pole Position,20,2024-03-28,1,16.0,0,0.0,1,10.0,1,16.0,3,13.0
384,Cockpit,10,2024-03-28,0,0.0,1,10.0,1,10.0,1,8.0,3,13.0
385,Pit-Lane,4,2024-03-29,1,4.0,0,0.0,0,0.0,0,0.0,4,13.0
386,Dry-lane,4,2024-03-29,0,0.0,1,3.0,0,0.0,0,0.0,4,13.0
387,Joker Lap,4,2024-03-29,0,0.0,1,2.0,1,4.0,0,0.0,4,13.0
388,Quick 8,8,2024-03-29,0,0.0,1,6.0,1,5.0,1,7.0,4,13.0
389,Pole Position,20,2024-03-29,0,0.0,1,10.0,1,17.0,1,18.0,4,13.0
390,Cockpit,10,2024-03-29,1,7.0,0,0.0,1,9.0,1,7.0,4,13.0
